"","vd_0f","vd_1f","vd_2f","exp_x1_K","exp_x1_T","exp_x1_S.R","exp_x1_G","exp_x2_K","exp_x2_T","exp_x2_S.R","exp_x2_G","neg.ev_1","neg.ev_2.R","neg.ev_3","neg.ev_4.R","neg.ev_5","neg.ev_6","neg.ev_7.R","neg.ev_8","neg.ev_9","neg.ev_10.R","neg.ev_11","neg.ev_12","gender","income","age","employ","r_amount","r_type"
"4",1,2,3,7,7,7,7,8,8,8,8,5,1,5,3,5,5,3,5,5,2,5,5,2,4,49,1,2,1
"8",2,1,3,6,4,1,6,7,4,2,6,4,3,3,2,4,3,2,2,3,2,4,3,1,4,57,1,2,1
"11",1,2,3,9,9,9,9,9,9,9,9,3,2,3,3,5,5,1,5,5,1,5,5,1,3,69,5,2,1
"16",1,2,3,8,9,9,8,9,9,8,8,3,2,2,2,2,2,3,3,2,3,2,2,2,3,35,1,2,1
"23",1,2,3,9,9,9,9,9,9,9,9,3,2,5,1,4,4,1,4,3,2,4,4,1,5,66,5,2,1
"31",1,2,3,8,8,8,8,7,7,7,7,2,3,2,4,4,4,1,2,2,4,4,2,2,1,60,5,2,1
"37",1,2,3,7,7,9,8,8,8,6,7,5,1,5,4,5,5,5,5,5,5,5,5,1,3,80,5,2,1
"43",1,2,3,9,9,8,9,6,5,5,6,5,4,5,3,5,5,4,3,4,2,2,3,2,3,55,1,2,1
"53",1,2,3,8,9,8,8,7,7,7,5,2,1,4,4,3,2,1,1,2,1,1,2,2,1,25,3,2,1
"54",1,3,2,9,9,9,9,9,9,9,9,4,3,4,3,5,4,4,2,3,2,2,3,2,4,41,1,2,1
"57",1,2,3,9,9,9,9,8,8,8,8,2,2,5,3,3,5,2,4,4,2,4,5,1,2,56,1,2,1
"60",1,2,3,9,9,9,9,8,9,9,7,4,3,5,3,5,5,3,5,5,4,5,5,1,4,66,5,2,1
"61",1,2,3,5,8,6,8,4,8,6,8,5,2,4,3,4,4,3,4,4,3,4,3,1,4,49,2,2,1
"68",1,3,2,8,8,8,8,8,8,8,8,2,2,2,2,4,4,2,2,2,2,2,3,1,4,57,1,2,1
"71",1,2,3,8,9,9,9,6,5,3,6,3,1,2,2,2,3,1,1,2,4,1,1,2,5,25,6,2,1
"78",1,3,2,8,8,8,8,7,7,7,6,4,2,5,2,4,4,2,5,5,2,4,5,2,4,42,1,2,1
"82",2,1,3,8,9,8,8,6,8,7,6,5,4,4,4,5,5,5,4,3,4,4,3,1,1,60,2,2,1
"89",1,2,3,5,6,5,5,8,8,6,6,4,4,5,5,5,4,4,4,3,3,2,3,1,4,38,1,2,1
"91",1,2,3,5,7,6,6,6,6,5,5,5,4,5,3,5,5,5,5,4,4,5,4,1,3,62,2,2,1
"96",3,2,1,4,4,2,4,4,4,1,5,5,2,5,1,5,5,1,5,4,2,4,4,1,1,53,3,2,1
"108",1,2,3,6,6,2,6,6,6,2,6,3,4,2,3,3,3,4,2,3,3,2,3,2,4,52,1,2,1
"118",3,2,1,9,9,9,9,9,9,9,9,3,2,5,1,4,4,1,4,4,2,3,5,2,1,65,5,2,1
"122",1,2,3,6,4,7,5,5,4,6,4,5,2,5,1,4,5,2,5,4,1,4,5,1,3,80,5,2,1
"132",2,1,3,8,7,7,7,4,5,8,6,3,3,3,2,3,3,3,3,3,3,3,3,2,1,37,1,2,1
"135",3,2,1,9,9,9,9,9,9,9,9,5,1,4,4,4,4,4,5,5,2,5,4,1,1,64,1,2,1
"142",1,2,3,7,8,9,8,7,8,8,9,3,1,2,1,2,2,1,4,2,1,3,3,2,4,36,1,2,1
"147",3,1,2,1,7,2,5,5,5,1,5,3,4,2,5,4,2,5,3,2,5,1,2,2,5,20,3,2,1
"149",1,2,3,7,7,7,9,7,7,7,7,2,1,3,1,3,3,1,3,2,1,1,2,1,4,44,1,2,1
"159",1,2,3,6,6,6,5,6,6,6,6,1,1,1,1,1,1,1,1,1,1,3,1,2,1,45,6,2,1
"164",1,3,2,7,8,7,8,6,7,7,6,5,2,3,3,3,3,2,5,5,2,3,2,2,4,18,4,2,1
"165",1,2,3,8,8,8,8,7,7,7,7,2,2,2,2,3,3,3,3,3,2,3,3,2,4,56,1,2,1
"169",1,3,2,6,7,8,8,6,7,8,8,5,3,5,4,4,3,3,4,3,3,4,5,1,1,54,2,2,1
"175",1,2,3,5,5,6,6,5,5,7,5,5,4,5,5,5,5,5,5,5,4,5,5,1,1,73,5,2,1
"182",1,2,3,9,9,9,9,9,9,9,9,4,4,2,3,3,3,2,3,3,2,3,3,1,1,68,5,2,1
"192",1,2,3,7,7,8,8,7,7,6,6,4,1,3,1,3,4,1,3,3,1,4,3,1,3,55,5,2,1
"194",1,2,3,9,9,9,9,9,9,9,9,3,3,3,2,4,4,3,3,3,2,2,3,2,1,66,5,2,1
"199",1,2,3,7,7,7,6,6,7,6,6,2,4,5,4,5,3,3,5,5,1,2,3,1,2,63,1,2,1
"205",1,3,2,4,5,5,6,5,5,5,5,5,1,5,4,5,5,5,2,5,4,5,5,1,3,69,5,2,1
"210",1,2,3,9,6,7,7,5,7,8,6,3,3,2,2,4,3,2,2,2,1,1,2,2,1,41,6,2,1
"213",1,2,3,6,9,8,7,7,7,7,7,3,2,4,3,4,3,2,4,4,2,3,3,1,4,55,2,2,1
"216",2,1,3,7,8,8,8,6,7,8,8,5,2,5,2,5,5,4,5,5,2,5,5,2,4,54,1,2,1
"227",1,2,3,7,8,8,8,7,7,7,7,4,2,4,2,5,4,1,4,4,2,5,4,2,1,58,5,2,1
"228",1,2,3,9,9,9,9,5,5,5,5,3,1,2,1,1,1,1,3,2,1,1,1,2,3,45,6,2,1
"236",2,1,3,7,9,6,6,6,7,7,5,3,3,3,3,3,3,3,3,3,3,3,3,1,1,55,3,2,1
"240",1,2,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,2,1,1,50,3,2,1
"245",1,2,3,8,8,8,8,8,8,8,8,2,4,5,3,5,5,5,4,5,4,5,5,1,4,58,1,2,1
"250",3,2,1,9,9,9,9,9,9,9,9,5,4,4,3,4,4,3,2,3,3,3,3,2,1,40,1,2,1
"252",1,2,3,7,7,8,8,6,6,7,6,2,1,2,4,2,2,1,2,2,1,1,2,2,4,40,1,2,1
"261",1,2,3,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,48,6,2,1
"264",1,2,3,9,8,8,9,8,8,8,8,5,3,5,3,4,5,3,3,4,4,4,3,1,4,52,1,2,1
"267",2,1,3,5,5,5,5,6,6,4,6,4,2,4,2,5,4,2,4,4,2,4,4,1,1,55,1,2,1
"277",1,3,2,6,7,5,5,6,5,4,5,4,2,4,2,4,4,2,3,4,2,3,4,1,2,44,1,2,1
"279",1,2,3,9,9,9,9,9,9,9,9,4,4,5,3,3,3,2,5,3,2,3,5,2,1,73,5,2,1
"285",2,1,3,9,9,9,9,8,8,8,6,3,1,4,1,4,4,1,3,2,1,1,3,1,4,47,1,2,1
"291",2,1,3,7,7,7,7,6,6,6,6,3,2,3,3,3,3,2,3,3,3,4,3,1,1,61,2,2,1
"292",1,2,3,9,9,9,9,8,7,8,8,4,3,5,3,5,4,4,5,4,4,4,5,1,4,57,1,2,1
"297",1,2,3,8,9,8,8,9,9,8,8,4,2,5,1,5,5,2,5,5,2,4,4,2,1,72,5,2,1
"298",3,1,2,9,8,9,9,8,8,8,7,3,2,3,2,4,3,2,4,3,2,3,3,2,4,31,1,2,1
"303",1,3,2,9,8,7,8,9,8,8,8,3,2,2,3,3,4,1,3,3,2,3,4,1,2,35,2,2,1
"306",1,2,3,9,9,9,9,9,9,9,9,5,1,5,5,5,5,5,5,5,5,5,5,2,2,65,5,2,1
"311",1,2,3,4,3,4,3,8,8,7,8,2,3,4,3,3,4,4,3,3,2,3,2,1,2,48,1,2,1
"317",1,3,2,9,9,9,9,9,9,9,9,5,4,5,4,5,5,4,5,2,4,5,5,1,5,55,1,2,1
"327",1,3,2,9,9,9,9,9,8,8,8,5,2,5,3,4,4,3,3,4,2,4,4,1,3,57,1,2,1
"343",1,3,2,9,9,9,9,9,9,9,6,5,2,4,3,5,2,3,4,4,2,5,3,1,3,51,1,2,1
"347",2,3,1,6,6,4,6,7,7,3,7,5,1,5,1,5,5,1,5,5,1,5,5,2,5,21,3,2,1
"350",1,3,2,9,9,9,9,9,9,9,9,4,3,4,3,4,4,4,4,4,3,5,2,2,1,61,5,2,1
