"","gender","age","employment","income","keep","share","condition"
"1",2,73,5,1,0.75,0.25,1
"2",2,31,2,2,0.8,0.2,1
"3",1,60,5,1,0.5,0.5,1
"4",2,35,3,3,0.5,0.5,1
"5",1,30,1,4,0.75,0.25,1
"6",2,32,2,4,1,0,1
"7",2,57,1,2,0.5,0.5,1
"8",1,27,1,2,0.9,0.1,1
"9",2,61,5,1,0.75,0.25,1
"10",2,62,5,5,0.7,0.3,1
"11",1,74,5,1,0.75,0.25,1
"12",1,71,5,2,0.6,0.4,1
"13",2,56,3,1,1,NA,1
"14",2,29,4,1,0.5,0.5,1
"15",1,33,1,3,0.5,0.5,1
"16",2,64,5,1,1,NA,1
"17",1,56,3,1,1,0,1
"18",1,53,6,5,0.5,0.5,1
"19",2,26,3,1,1,0,1
"20",1,52,1,4,0.5,0.5,1
"21",2,57,2,2,0.6,0.4,1
"22",2,38,1,3,0.66,0.34,1
"23",1,58,1,4,0.9,0.1,1
"24",1,30,1,3,0.8,0.2,1
"25",1,43,6,2,0.6,0.4,1
"26",2,58,5,3,0.75,0.25,1
"27",2,55,2,1,0.7,0.3,1
"28",1,24,1,2,1,0,1
"29",2,53,1,4,1,0,1
"30",2,33,2,4,1,0,1
"31",2,39,1,1,0.5,0.5,1
"32",1,34,1,3,1,0,1
"33",2,53,3,3,0.5,0.5,1
"34",1,45,1,5,1,0,1
"35",2,62,5,1,0.5,0.5,1
"36",2,40,1,2,0.8,0.2,1
"37",1,65,1,4,0.5,0.5,1
"38",2,49,2,1,0.75,0.25,1
"39",1,35,1,5,1,0,1
"40",1,58,5,3,0.9,0.1,1
"41",1,41,2,1,0.5,0.5,1
"42",1,51,1,3,0.5,0.5,1
"43",2,44,6,1,0.5,0.5,1
"44",2,62,5,3,0.9,0.1,1
"45",2,33,3,1,0.7,0.3,1
"46",2,41,3,2,0.5,0.5,1
"47",2,54,5,2,0.75,0.25,1
"48",2,29,1,3,0.9,0.1,1
"49",2,18,4,5,0.8,0.2,1
"50",1,37,1,5,1,0,1
"51",1,40,3,4,0.75,0.25,1
"52",2,51,1,2,0.75,0.25,1
"53",2,41,1,5,0.75,0.25,1
"54",1,53,2,4,0.7,0.3,1
"55",1,69,5,3,0.8,0.2,1
"56",2,27,4,1,0.7,0.3,1
"57",1,71,5,4,0.8,0.2,1
"58",2,38,1,3,0.5,0.5,1
"59",1,57,3,1,0.5,0.5,1
"60",1,40,3,1,0.5,0.5,1
"61",1,54,2,2,0.5,0.5,1
"62",2,27,1,3,0.7,0.3,1
"63",1,62,5,1,0.75,0.25,1
"64",2,65,5,5,0.75,0.25,1
"65",2,34,6,1,0.7,0.3,1
"66",2,46,6,1,0.75,0.25,1
"67",1,50,1,2,1,0,1
"68",1,59,3,1,1,0,1
"69",1,68,5,1,1,0,1
"70",1,38,1,3,0.25,0.75,1
"71",1,31,1,4,0.5,0.5,1
"72",1,84,5,2,0.5,0.5,1
"73",2,58,1,3,1,0,1
"74",1,51,1,4,0.5,0.5,1
"75",1,30,2,1,0.5,0.5,1
"76",1,60,1,4,0.7,0.3,1
"77",1,59,5,4,0.75,0.25,1
"78",1,73,5,3,0.75,0.25,1
"79",1,42,6,1,0.5,0.5,1
"80",1,27,1,3,0.9,0.1,1
"81",2,39,6,5,0.75,0.25,1
"82",1,62,5,2,0.7,0.3,1
"83",1,54,1,4,0.75,0.25,1
"84",1,38,1,4,0.5,0.5,1
"85",1,71,5,3,0.75,0.25,1
"86",2,67,5,5,0.75,0.25,1
"87",1,27,1,2,0.75,0.25,1
"88",1,64,5,3,1,0,1
"89",2,63,5,2,1,0,1
"90",1,52,6,2,0.75,0.25,1
"91",1,76,5,2,0.5,0.5,1
"92",1,68,5,1,1,0,1
"93",2,27,1,3,1,0,1
"94",1,69,5,4,0.5,0.5,1
"95",1,41,1,4,0.5,0.5,1
"96",1,44,1,1,1,0,1
"97",1,49,2,2,0.6,0.4,1
"98",1,61,3,5,1,0,1
"99",2,53,1,5,0.75,0.25,1
"100",1,44,1,3,0.75,0.25,1
"101",1,51,1,2,0.7,0.3,1
"102",2,62,2,5,0.8,0.2,1
"103",2,64,5,1,0.7,0.3,1
"104",2,56,5,4,0.5,0.5,1
"105",2,64,2,3,0.7,0.3,1
"106",1,42,6,1,0.5,0.5,1
"107",1,51,2,1,0.7,0.3,1
"108",2,25,2,5,0.8,0.2,1
"109",2,42,2,3,0.75,0.25,1
"110",2,40,3,1,0.75,0.25,1
"111",1,34,1,4,1,0,1
"112",2,75,5,1,0.75,0.25,1
"113",1,66,5,5,0.75,0.25,1
"114",2,57,6,1,1,0,1
"115",1,23,4,1,0.9,0.1,1
"116",2,18,4,2,0.7,0.3,1
"117",2,22,6,1,0.6,0.4,1
"118",2,42,1,3,0.9,0.1,1
"119",1,42,1,3,0.5,0.5,1
"120",1,24,4,2,0.5,0.5,1
"121",1,44,1,3,0.7,0.3,1
"122",2,55,2,1,0.6,0.4,1
"123",1,39,1,3,0.5,0.5,1
"124",2,38,2,4,0.5,0.5,1
"125",1,68,5,3,0.5,0.5,1
"126",2,69,2,5,0.75,0.25,1
"127",2,63,1,5,0.7,0.3,1
"128",1,32,3,3,0.7,0.3,1
"129",1,56,1,4,0.75,0.25,1
"130",2,37,1,3,0.75,0.25,1
"131",2,53,1,4,0.8,0.2,1
"132",1,36,1,3,0.5,0.5,1
"133",2,44,1,4,0.7,0.3,1
"134",2,21,4,1,0.5,0.5,2
"135",1,39,3,1,1,0,2
"136",2,69,5,2,0.5,0.5,2
"137",1,34,1,3,0.5,0.5,2
"138",1,27,1,3,0.75,0.25,2
"139",2,37,3,1,1,NA,2
"140",1,65,5,1,0.75,0.25,2
"141",2,35,2,4,0.7,0.3,2
"142",2,19,4,1,0.7,0.3,2
"143",1,61,1,4,0.5,0.5,2
"144",1,35,1,4,0.6,0.4,2
"145",1,45,3,2,1,0,2
"146",2,55,2,3,0.75,0.25,2
"147",1,55,1,2,0.5,0.5,2
"148",1,40,1,3,0.5,0.5,2
"149",2,56,5,1,0.75,0.25,2
"150",1,56,1,4,0.5,0.5,2
"151",2,50,6,5,0.6,0.4,2
"152",1,50,1,4,0.6,0.4,2
"153",2,35,1,2,0.5,0.5,2
"154",1,61,6,1,1,0,2
"155",2,45,1,3,0.75,0.25,2
"156",2,37,6,1,0.5,0.5,2
"157",1,42,1,4,0.75,0.25,2
"158",2,32,1,1,1,NA,2
"159",1,29,1,4,0.75,0.25,2
"160",1,73,5,2,0.5,0.5,2
"161",2,52,6,1,0.5,0.5,2
"162",1,51,1,3,0.75,0.25,2
"163",1,34,1,4,1,0,2
"164",2,33,2,5,0.7,0.3,2
"165",1,51,2,3,1,0,2
"166",2,41,1,3,0,1,2
"167",1,71,2,4,1,0,2
"168",2,40,2,1,0.5,0.5,2
"169",1,67,5,1,0.5,0.5,2
"170",2,66,5,5,0.5,0.5,2
"171",1,46,1,3,0.5,0.5,2
"172",2,31,1,3,0.5,0.5,2
"173",2,43,1,3,0.7,0.3,2
"174",1,68,5,5,0.75,0.25,2
"175",1,66,5,2,0.75,0.25,2
"176",2,58,6,3,0.5,0.5,2
"177",2,23,3,2,0.5,0.5,2
"178",1,49,1,1,0.5,0.5,2
"179",1,37,1,1,1,0,2
"180",2,53,2,3,0.6,0.4,2
"181",1,42,1,4,0.5,0.5,2
"182",2,25,1,2,0.3,0.7,2
"183",1,34,2,2,0.65,0.35,2
"184",2,27,1,3,1,0,2
"185",1,39,1,4,0.75,0.25,2
"186",2,57,3,1,0.5,0.5,2
"187",1,38,1,3,1,0,2
"188",2,27,1,3,1,0,2
"189",2,53,1,3,0.75,0.25,2
"190",1,32,1,4,0.5,0.5,2
"191",2,41,1,5,0.7,0.3,2
"192",1,61,5,3,0.8,0.2,2
"193",1,66,5,4,0.5,0.5,2
"194",2,47,4,1,1,0,2
"195",2,27,1,2,0.5,0.5,2
"196",2,57,5,5,0.75,0.25,2
"197",2,43,1,5,0.7,0.3,2
"198",1,48,1,4,0.8,0.2,2
"199",2,78,5,2,0.5,0.5,2
"200",1,55,5,2,0.8,0.2,2
"201",2,70,5,1,0.75,0.25,2
"202",2,59,6,2,0.75,0.25,2
"203",1,57,5,1,0.99,0.01,2
"204",2,20,1,4,0.7,0.3,2
"205",2,48,2,4,0.75,0.25,2
"206",1,48,1,4,0.75,0.25,2
"207",2,53,2,2,0.5,0.5,2
"208",1,62,1,4,0.5,0.5,2
"209",2,35,2,1,0.75,0.25,2
"210",2,37,1,4,0.8,0.2,2
"211",2,53,1,5,0.5,0.5,2
"212",2,59,2,5,0.5,0.5,2
"213",1,59,5,1,0.75,0.25,2
"214",2,27,1,3,1,0,2
"215",2,34,6,5,0.9,0.1,2
"216",1,42,1,4,0.6,0.4,2
"217",2,64,5,1,0.6,0.4,2
"218",2,52,2,1,0.6,0.4,2
"219",1,37,1,2,1,0,2
"220",1,69,5,3,0.5,0.5,2
"221",2,49,6,5,0.75,0.25,2
"222",2,61,5,1,0.8,0.2,2
"223",2,30,1,4,1,0,2
"224",1,61,5,5,1,0,2
"225",1,65,5,1,0.5,0.5,2
"226",1,53,1,3,0.5,0.5,2
"227",2,16,4,3,0.75,0.25,2
"228",1,45,1,2,0.7,0.3,2
"229",1,61,5,3,0.75,0.25,2
"230",2,27,1,3,1,0,2
"231",2,52,6,1,0.5,0.5,2
"232",2,25,1,1,0.7,0.3,2
"233",1,50,1,4,1,0,2
"234",1,70,5,4,0.9,0.1,2
"235",1,71,5,2,0.7,0.3,2
"236",1,64,5,3,0.75,0.25,2
"237",2,57,2,4,0.5,0.5,2
"238",1,37,1,3,0.6,0.4,2
"239",2,45,6,2,0.5,0.5,2
"240",2,49,3,3,0.5,0.5,2
"241",1,73,5,3,0.5,0.5,2
"242",2,43,6,1,0.75,0.25,2
"243",1,67,5,1,0.75,0.25,2
"244",1,71,5,2,0.5,0.5,2
"245",1,50,6,1,0.4,0.6,2
"246",2,45,1,1,1,0,2
"247",2,52,2,1,0.7,0.3,2
"248",1,65,5,4,1,0,2
"249",2,27,1,3,1,0,2
"250",2,64,5,1,0.5,0.5,2
"251",2,39,1,3,0.5,0.5,2
"252",1,30,1,3,0.8,0.2,2
"253",2,61,5,5,0.5,0.5,2
"254",2,32,1,3,0,1,2
"255",2,56,2,2,0.6,0.4,2
"256",1,51,1,4,0.5,0.5,2
"257",2,62,5,2,0.5,0.5,2
"258",1,47,3,2,0.5,0.5,2
"259",2,57,5,2,0.7,0.3,2
"260",1,58,1,2,1,0,3
"261",2,49,3,2,0.5,0.5,3
"262",1,69,5,4,0.85,0.15,3
"263",1,66,5,1,0.5,0.5,3
"264",1,61,5,5,1,0,3
"265",1,44,1,2,0.5,0.5,3
"266",1,38,3,1,0.75,0.25,3
"267",2,25,2,1,0.7,0.3,3
"268",2,21,4,5,1,0,3
"269",2,34,1,4,0.5,0.5,3
"270",2,57,2,1,0.75,0.25,3
"271",1,45,1,1,0.5,0.5,3
"272",2,66,5,5,0.75,0.25,3
"273",2,57,1,3,0.5,0.5,3
"274",2,60,5,1,0.75,0.25,3
"275",2,23,3,1,1,NA,3
"276",1,45,1,3,1,0,3
"277",2,42,1,1,0.5,0.5,3
"278",2,55,2,1,0.5,0.5,3
"279",1,62,5,1,0,1,3
"280",2,61,5,1,0.5,0.5,3
"281",2,51,6,2,0.75,0.25,3
"282",1,30,6,1,1,0,3
"283",2,50,1,5,0.5,0.5,3
"284",2,21,1,3,0.5,0.5,3
"285",2,37,1,4,0.5,0.5,3
"286",2,20,4,1,0.9,0.1,3
"287",2,28,3,1,0.9,0.1,3
"288",2,73,5,4,0.75,0.25,3
"289",2,55,6,1,0.5,0.5,3
"290",1,69,5,3,0.5,0.5,3
"291",1,67,5,2,0.5,0.5,3
"292",1,66,5,4,0.5,0.5,3
"293",1,38,2,4,0.5,0.5,3
"294",1,48,1,1,0.75,0.25,3
"295",2,63,5,1,0.75,0.25,3
"296",2,42,1,2,0.5,0.5,3
"297",2,42,6,1,0.75,0.25,3
"298",1,50,6,1,0.5,0.5,3
"299",2,23,1,5,0.6,0.4,3
"300",1,32,1,3,0.5,0.5,3
"301",1,26,1,4,0.8,0.2,3
"302",2,45,1,4,0.7,0.3,3
"303",2,33,1,1,0.5,0.5,3
"304",1,35,1,5,0.5,0.5,3
"305",1,60,5,2,0.75,0.25,3
"306",1,65,5,4,0.75,0.25,3
"307",1,55,2,5,0.5,0.5,3
"308",2,51,1,1,0.75,0.25,3
"309",2,21,4,1,0.7,0.3,3
"310",1,41,1,4,0.5,0.5,3
"311",2,35,1,2,0.5,0.5,3
"312",1,32,1,2,1,0,3
"313",1,25,1,3,0.5,0.5,3
"314",2,25,4,4,0.75,0.25,3
"315",2,40,1,4,0.5,0.5,3
"316",1,50,1,5,0.6,0.4,3
"317",1,54,5,4,0.5,0.5,3
"318",1,48,1,3,0.75,0.25,3
"319",1,43,2,1,0.75,0.25,3
"320",1,66,5,3,0.75,0.25,3
"321",1,46,3,1,0.5,0.5,3
"322",2,49,6,5,0.7,0.3,3
"323",2,52,6,1,0.5,0.5,3
"324",1,32,6,1,0.9,0.1,3
"325",2,49,1,3,0.5,0.5,3
"326",1,58,1,3,0.75,0.25,3
"327",1,35,1,4,1,0,3
"328",1,48,3,1,1,0,3
"329",1,51,6,5,1,0,3
"330",2,62,2,2,1,NA,3
"331",1,51,1,3,0.75,0.25,3
"332",2,59,6,5,0.75,0.25,3
"333",1,38,1,3,0.5,0.5,3
"334",1,33,1,5,1,0,3
"335",1,59,1,4,0.5,0.5,3
"336",1,34,1,3,0.6,0.4,3
"337",2,54,6,5,0.95,0.05,3
"338",2,35,3,1,1,0,3
"339",2,52,2,1,0.75,0.25,3
"340",1,54,2,2,0.7,0.3,3
"341",2,45,2,1,0.75,0.25,3
"342",2,31,1,2,0.5,0.5,3
"343",2,50,3,1,0.9,0.1,3
"344",2,45,1,4,1,0,3
"345",2,47,2,4,1,0,3
"346",2,44,1,1,0.5,0.5,3
"347",1,37,1,3,0.5,0.5,3
"348",2,53,2,4,0.75,0.25,3
"349",2,63,5,3,1,0,3
"350",2,35,3,5,0.5,0.5,3
"351",2,27,1,3,1,0,3
"352",2,23,2,1,0.5,0.5,3
"353",1,67,5,2,0.5,0.5,3
"354",1,70,2,5,0.5,0.5,3
"355",1,63,5,3,0.8,0.2,3
"356",1,55,1,4,1,0,3
"357",2,59,2,1,0.7,0.3,3
"358",1,42,1,4,0.5,0.5,3
"359",2,36,2,1,1,0,3
"360",1,45,1,4,0.7,0.3,3
"361",2,27,1,3,1,0,3
"362",1,57,1,4,1,0,3
"363",1,60,1,2,0.5,0.5,3
"364",2,43,2,1,0.8,0.2,3
"365",2,35,2,1,0.7,0.3,3
"366",2,27,1,3,1,0,3
"367",2,67,5,2,0.6,0.4,3
"368",2,62,5,1,0.75,0.25,3
"369",2,62,5,3,0.6,0.4,3
"370",2,65,5,5,0.5,0.5,3
"371",2,32,1,4,1,0,3
"372",1,70,5,5,0.95,0.05,3
"373",1,58,2,1,0.5,0.5,3
"374",1,39,1,4,0.5,0.5,3
"375",2,68,5,5,0.6,0.4,3
"376",2,26,2,5,0.5,0.5,3
"377",1,50,6,1,0.75,0.25,3
"378",1,47,1,2,0.75,0.25,3
"379",1,67,5,1,0.75,0.25,3
"380",1,45,1,4,0.6,0.4,3
"381",2,62,6,3,0.25,0.75,3
"382",2,31,1,3,0.9,0.1,3
"383",1,67,5,5,0.75,0.25,3
