"","gender","age","income","employment","B2vsA1","D4vsC3","B2vsC3","D4vsE5","A1vsE5","A1vsD4","B2vsD4","B2vsE5","C3vsA1","C3vsE5","F6vsG7","F6vsH8","G7vsH8","condition"
"1",2,21,1,3,1,4,3,4,1,4,4,2,3,3,6,6,7,1
"2",2,29,4,1,1,3,3,4,1,1,2,2,3,3,7,8,8,1
"3",2,43,2,1,1,3,3,4,1,1,4,2,1,3,6,6,7,1
"4",2,65,2,5,2,3,3,4,5,4,4,2,3,3,7,8,8,1
"5",1,42,1,1,1,3,3,5,1,1,2,2,1,3,6,6,8,1
"6",2,44,1,3,2,4,3,4,1,4,4,2,3,3,6,6,8,1
"7",1,37,3,1,1,3,3,4,1,1,4,2,1,3,7,8,8,1
"8",2,66,1,5,1,4,2,4,1,1,4,2,1,3,6,6,7,1
"9",1,32,3,1,1,4,3,4,1,4,4,2,3,3,7,8,7,1
"10",2,36,4,1,1,3,3,4,1,1,4,2,1,3,6,6,7,1
"11",1,73,2,5,2,4,3,4,5,4,4,2,3,3,7,8,8,1
"12",2,32,3,1,1,3,3,4,1,1,4,2,3,3,6,6,7,1
"13",2,29,5,4,1,4,3,4,1,4,4,2,3,3,7,6,7,1
"14",2,55,3,1,1,3,3,4,5,4,4,2,3,3,7,8,8,1
"15",1,37,2,1,1,4,3,4,1,4,4,2,3,3,7,6,7,1
"16",1,75,1,5,2,3,3,4,1,4,4,2,3,3,6,8,8,1
"17",1,34,2,1,1,3,3,4,1,1,4,2,1,3,6,6,7,1
"18",1,45,4,1,1,3,3,4,1,1,4,2,1,3,6,6,8,1
"19",2,57,1,2,1,3,3,4,1,4,4,2,3,3,6,8,8,1
"20",2,20,1,4,1,4,3,4,1,4,4,2,3,3,6,6,8,1
"21",2,30,3,1,1,4,3,4,1,1,4,2,1,3,6,6,7,1
"22",1,53,4,1,1,3,3,4,1,1,4,2,3,3,6,6,7,1
"23",2,39,1,6,1,3,3,4,1,1,4,2,3,3,7,8,8,1
"24",1,63,1,6,2,4,3,4,1,4,4,2,3,3,6,6,7,1
"25",1,64,3,1,2,3,3,4,5,4,4,2,3,3,7,8,8,1
"26",1,53,3,1,2,3,2,5,1,1,2,2,1,3,6,6,7,1
"27",2,41,2,1,1,3,3,4,1,1,4,2,1,3,6,6,7,1
"28",2,48,1,3,1,3,3,4,1,1,4,2,1,3,6,6,8,1
"29",2,34,5,6,1,3,3,4,1,1,4,2,3,3,6,6,7,1
"30",1,47,4,1,1,3,3,4,1,1,4,2,1,3,6,6,8,1
"31",1,49,3,1,1,3,3,4,1,1,4,2,1,3,6,6,8,1
"32",1,66,4,5,1,4,3,4,1,4,4,2,3,3,6,6,7,1
"33",2,52,5,2,1,4,3,4,1,4,4,2,3,3,6,6,7,1
"34",2,50,3,1,2,4,3,4,1,4,2,2,3,3,7,8,8,1
"35",1,41,5,1,1,3,3,4,1,1,4,2,3,3,7,6,7,1
"36",1,41,1,1,1,3,3,4,1,1,4,2,1,3,6,6,8,1
"37",1,55,1,5,2,3,2,5,5,4,2,5,3,3,7,8,8,1
"38",2,49,2,2,2,3,3,4,5,1,4,2,3,3,6,6,7,1
"39",2,49,4,1,1,3,3,4,1,1,4,2,1,3,6,6,8,1
"40",1,65,2,5,1,4,3,4,1,4,4,2,3,3,6,6,7,1
"41",2,44,1,6,1,3,3,4,5,4,4,2,3,3,7,8,8,1
"42",2,68,2,5,1,4,3,4,1,1,4,5,1,5,6,8,8,1
"43",2,33,3,1,1,3,3,4,1,1,2,2,1,3,6,6,8,1
"44",2,34,4,1,1,4,3,4,1,4,4,2,3,3,6,6,7,1
"45",2,28,3,1,1,4,2,4,1,4,4,2,1,5,6,8,8,1
"46",2,39,2,6,1,3,3,4,1,1,4,2,1,3,7,6,8,1
"47",1,52,3,2,1,4,3,4,1,4,4,2,3,3,7,6,7,1
"48",1,66,1,1,1,3,3,4,1,1,4,2,3,3,6,6,8,1
"49",2,20,1,4,1,3,3,4,1,1,4,2,1,3,6,6,7,1
"50",1,34,5,6,1,4,3,4,1,4,4,2,3,3,6,6,7,2
"51",1,53,2,1,1,4,3,4,1,4,4,2,3,3,6,6,7,2
"52",1,49,3,1,2,4,2,4,1,1,2,2,1,3,6,8,7,2
"53",2,61,1,1,1,3,3,4,1,1,2,2,1,3,6,6,7,2
"54",2,56,4,5,1,4,3,4,1,4,4,2,1,3,6,6,7,2
"55",2,61,4,2,1,3,3,4,1,1,4,2,1,3,6,6,7,2
"56",2,44,3,1,2,4,3,4,1,4,4,2,3,3,6,8,8,2
"57",2,37,5,1,2,3,3,4,1,1,2,2,1,3,7,8,8,2
"58",1,55,4,1,1,3,3,4,1,1,4,2,1,3,6,6,8,2
"59",1,42,4,1,1,3,3,4,1,1,2,2,1,3,6,6,8,2
"60",1,44,5,1,1,3,3,4,1,1,4,2,1,3,6,6,7,2
"61",2,21,1,1,1,3,3,4,1,1,4,2,1,3,6,6,8,2
"62",1,45,1,5,1,3,3,4,1,1,4,2,1,3,6,6,7,2
"63",1,53,3,1,1,3,3,4,1,1,2,2,1,3,6,6,7,2
"64",2,64,1,5,2,3,3,5,1,1,2,2,1,3,6,6,8,2
"65",1,19,1,4,1,4,3,4,1,4,4,2,3,3,7,6,7,2
"66",2,44,3,6,1,3,3,4,1,1,4,2,1,3,6,6,8,2
"67",1,47,3,1,1,4,3,4,1,4,4,2,3,3,6,6,7,2
"68",1,21,1,2,2,3,3,4,1,1,2,2,3,3,7,8,7,2
"69",2,55,1,5,1,3,3,4,1,1,4,2,1,3,6,6,7,2
"70",2,27,2,1,2,4,2,4,5,1,2,2,3,5,6,6,8,2
"71",2,27,1,3,2,3,3,4,1,1,2,2,3,5,7,6,7,2
"72",2,68,4,5,1,3,3,4,1,1,4,2,1,3,6,6,7,2
"73",1,53,3,1,1,3,3,4,1,4,4,2,3,3,6,8,8,2
"74",1,33,4,1,1,3,2,5,5,4,2,5,3,5,7,6,8,2
"75",2,54,3,2,1,4,3,4,1,4,4,2,3,3,6,6,7,2
"76",1,66,1,5,2,3,3,5,1,1,2,2,3,3,6,8,8,2
"77",1,27,3,1,1,3,3,4,1,1,4,2,1,3,6,6,8,2
"78",2,55,1,1,2,3,3,4,5,4,2,5,3,3,7,8,8,2
"79",2,41,5,1,1,3,3,4,1,1,4,2,3,3,6,6,7,2
"80",2,71,1,5,2,3,2,4,5,1,4,5,3,5,7,6,7,2
"81",2,68,1,5,1,3,2,5,1,1,2,2,1,5,6,6,8,2
"82",2,36,1,2,1,3,3,4,1,1,4,2,1,3,6,6,7,2
"83",2,41,2,1,2,4,3,4,1,4,4,2,3,3,6,6,7,2
"84",1,22,1,1,1,4,3,4,1,4,4,2,3,3,6,6,7,2
"85",1,51,4,1,2,3,2,5,5,1,2,2,1,5,7,8,8,2
"86",2,47,3,1,2,3,3,4,5,4,2,2,3,3,7,8,8,2
"87",1,48,2,1,1,4,3,4,1,4,4,2,3,3,6,6,8,2
"88",2,65,1,5,1,4,3,4,1,4,4,2,3,3,7,8,7,2
"89",2,50,1,2,1,3,3,4,1,4,4,2,3,3,6,8,8,2
"90",2,71,5,5,2,3,3,4,5,4,4,2,3,3,7,8,8,2
"91",2,36,4,1,2,3,2,4,1,4,2,5,3,3,6,8,8,2
"92",2,22,2,2,1,4,3,4,1,4,4,2,3,3,7,6,7,2
"93",1,53,3,1,1,3,3,4,1,1,4,2,3,3,6,6,8,2
"94",2,18,5,4,1,3,3,4,1,1,4,2,1,3,6,6,8,2
"95",2,66,4,5,1,4,3,4,1,4,4,2,3,3,6,6,7,2
"96",2,47,1,1,2,3,2,5,5,1,2,2,3,3,6,6,7,2
"97",1,78,4,5,1,4,3,4,5,1,4,2,3,5,7,8,8,2
"98",1,65,4,5,1,3,3,4,1,1,4,2,3,3,6,6,7,2
"99",1,57,5,1,1,4,3,4,1,4,4,2,3,3,7,6,7,3
"100",2,22,1,2,1,3,3,4,1,1,4,2,1,3,6,6,8,3
"101",2,49,4,1,1,3,3,4,1,1,4,2,3,3,6,6,7,3
"102",1,58,4,1,1,3,3,4,1,1,4,2,3,3,6,6,7,3
"103",2,63,1,6,1,3,3,4,1,1,4,2,3,3,6,6,8,3
"104",1,51,2,3,1,3,3,4,1,4,4,2,1,3,7,8,7,3
"105",2,41,2,3,1,3,3,4,1,1,4,2,1,3,6,6,8,3
"106",1,64,1,5,1,4,3,4,1,4,4,2,3,3,7,8,8,3
"107",2,58,4,1,1,3,3,5,5,1,2,2,1,5,7,8,8,3
"108",2,68,2,5,1,4,3,4,1,4,4,2,3,3,6,6,7,3
"109",1,60,5,5,1,4,3,4,1,4,4,2,3,3,6,6,7,3
"110",1,45,2,1,1,3,3,4,1,4,4,2,3,3,7,8,7,3
"111",1,65,3,5,2,3,3,4,5,4,2,2,3,3,7,8,7,3
"112",1,54,5,1,1,4,3,4,1,4,4,2,3,3,6,6,7,3
"113",1,37,2,1,1,3,3,4,1,1,4,2,1,3,7,8,7,3
"114",2,37,1,1,1,3,3,4,1,1,4,2,3,3,6,6,7,3
"115",1,59,5,1,1,4,3,4,1,4,4,2,3,3,7,6,7,3
"116",1,47,4,6,1,4,3,4,1,1,4,2,1,3,6,6,8,3
