"","gender","age","income","employment","B2vsC3","C3vsE5","A1vsE5","A1vsC3","A1vsD4","C3vs6F","A1vsB2","E5vs6F","A1vs6F","C3vsD4","D4vs6F","B2vs6F","D4vsE5","B2vsE5","B2vsD4","condition"
"1",1,32,1,2,2,5,5,1,4,6,2,6,6,4,6,2,4,5,4,1
"2",1,71,5,4,3,5,5,3,4,3,1,5,6,3,4,5,5,5,4,1
"3",1,57,3,1,2,3,1,1,1,3,2,5,1,3,4,2,4,2,2,1
"4",1,40,3,1,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,1
"5",2,40,1,4,3,5,5,3,4,6,1,5,6,4,6,5,5,5,4,1
"6",1,50,1,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"7",2,53,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"8",1,32,1,4,3,3,5,3,4,3,2,6,1,3,4,2,4,2,4,1
"9",2,41,1,5,3,3,1,3,4,3,2,6,1,4,4,2,4,2,4,1
"10",1,43,2,1,3,5,5,3,4,6,2,6,6,4,6,5,5,5,4,1
"11",2,46,6,1,3,3,5,3,4,3,2,5,6,4,4,5,5,5,4,1
"12",1,46,3,1,3,5,5,3,4,6,2,5,6,4,6,5,5,5,4,1
"13",1,59,3,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"14",2,52,6,1,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,1
"15",1,32,6,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"16",2,49,1,3,3,3,1,3,4,3,1,5,1,3,4,2,4,2,4,1
"17",1,55,5,2,3,3,5,3,4,3,1,5,6,3,4,5,4,5,4,1
"18",2,70,5,1,3,3,1,3,1,3,2,6,1,4,4,2,4,2,4,1
"19",1,35,1,4,3,3,5,3,4,6,2,6,6,4,6,5,4,5,4,1
"20",1,48,3,1,3,5,5,3,4,6,2,5,6,4,6,5,5,5,4,1
"21",2,20,1,4,3,5,5,1,4,3,1,5,6,3,4,2,5,2,4,1
"22",2,59,6,5,3,3,1,3,1,3,1,5,1,3,4,2,4,5,4,1
"23",1,59,5,4,3,5,5,3,1,6,1,5,6,3,6,5,5,5,4,1
"24",1,38,1,3,2,5,5,3,4,3,1,6,1,3,4,2,4,2,2,1
"25",2,53,2,2,3,5,1,1,1,3,1,5,1,4,4,2,4,5,4,1
"26",1,62,5,2,2,3,1,3,4,3,1,5,1,3,4,2,4,2,4,1
"27",2,52,2,1,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,1
"28",1,71,5,3,3,3,1,3,4,3,2,5,1,3,4,2,4,2,4,1
"29",2,53,1,5,2,3,1,1,1,3,2,6,1,4,4,2,4,2,2,1
"30",2,67,5,5,3,3,5,3,4,3,1,5,6,3,6,5,5,5,4,1
"31",1,27,1,2,3,3,5,3,4,3,1,5,6,3,4,5,5,5,4,1
"32",1,54,2,2,3,3,5,3,4,3,1,5,1,4,4,2,4,2,4,1
"33",1,64,5,3,3,5,5,1,4,6,1,5,6,3,6,5,5,5,4,1
"34",2,50,3,1,3,5,5,3,4,6,2,5,6,3,6,5,5,5,4,1
"35",2,63,5,2,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"36",2,45,1,4,3,5,1,1,4,6,2,5,1,4,6,5,5,5,4,1
"37",2,47,2,4,3,3,1,1,1,3,1,5,1,3,6,5,5,5,4,1
"38",1,37,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"39",2,49,6,5,3,3,5,3,1,3,1,5,1,3,4,2,5,5,4,1
"40",1,41,1,4,2,3,1,1,1,3,2,6,1,3,6,2,4,2,2,1
"41",2,27,1,3,3,5,5,3,1,3,1,5,6,4,6,5,4,2,2,1
"42",1,49,2,2,3,3,1,3,4,3,1,5,1,4,4,2,4,2,2,1
"43",2,53,1,5,3,3,5,3,4,3,2,6,6,4,4,5,4,5,4,1
"44",1,44,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,1
"45",1,51,1,2,3,3,5,3,4,3,2,5,6,3,4,5,4,5,4,1
"46",1,63,5,3,3,5,5,3,4,6,2,6,6,4,6,5,5,5,4,1
"47",1,45,1,2,3,3,5,3,4,3,2,5,6,3,4,5,4,5,4,1
"48",1,42,1,4,3,3,1,3,4,3,2,5,1,4,4,5,4,2,4,1
"49",2,27,1,3,2,3,1,3,4,6,2,5,6,3,6,5,5,5,2,1
"50",2,25,1,1,3,3,5,3,4,3,1,5,1,3,4,2,4,2,4,1
"51",1,45,1,4,3,3,5,1,4,6,2,5,1,4,4,2,5,5,2,1
"52",1,71,5,2,3,3,1,3,4,3,2,5,1,3,4,2,4,2,2,1
"53",1,51,2,1,3,5,5,3,4,6,2,5,6,3,6,5,5,5,4,1
"54",2,57,2,4,3,3,1,1,1,3,1,5,1,3,4,2,4,5,2,1
"55",2,75,5,1,3,5,5,3,4,6,1,6,6,4,6,5,5,5,4,1
"56",1,37,1,3,3,3,5,3,4,3,2,5,6,3,4,2,4,2,4,1
"57",2,45,6,2,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,1
"58",2,49,3,3,2,5,5,3,4,3,2,6,1,4,4,5,4,2,4,1
"59",2,27,1,3,2,3,1,3,4,6,2,5,1,4,4,2,5,5,4,1
"60",1,73,5,3,3,5,5,1,4,6,1,5,1,4,4,2,5,5,4,1
"61",2,62,5,3,2,5,1,3,4,3,2,6,6,4,4,2,4,2,4,1
